,Retweets,Favorites,Followers,ScreenName,Text
2666,23,75,15088048,ndtv,"14 medical staff of Delhi hospital in quarantine after exposure to #COVID-19 patient.
https://t.co/aG72FQAU9F https://t.co/Ft2wA0uCIx"
1501,11,121,15088046,ndtv,"#Coronavirus poses a different problem for UP village called ""Korauna"".
https://t.co/Y863ttmXOE https://t.co/8Frfsp929D"
1356,16,121,15088046,ndtv,"""Focus on tests, preparation"": How Assam is coping with #COVID19 outbreak. https://t.co/ZXqT1n4cjp https://t.co/B3KRehnXvK"
8501,21,121,15088040,ndtv,"2 senior Delhi officers suspended over ""serious lapses"" in #COVID-19 duty.
https://t.co/I75xpfMuAR https://t.co/raryOi2n9K"
12438,3605,22640,14176850,jk_rowling,"RIP. May we NEVER forget what immigrants, and their children and grandchildren, have given this country, especially our health service. https://t.co/3JLSilO4BD"
5673,574,4274,14176849,jk_rowling,Vulnerable people are dying and so are medical workers who put themselves in harm's way to care for other people. Don't be this kind of selfish bastard. #SocialDistancing  #DontBeASelfishBastard https://t.co/I5b5inCQsM
11887,258,585,13860780,UN,"Indigenous peoples are at disproportionate risk in public health emergencies such as #COVID19.

Follow @UN4Indigenous for updates on the #coronavirus crisis and its impact on indigenous communities. https://t.co/BbVZ4ubnay https://t.co/oh53HtkPHM"
5345,16,48,13614960,CGTNOfficial,"The #CoronavirusOutbreak has dealt a major hit to growth in China and the world. Now talks over how to bring the economy back on track are under the spotlight. 

CGTN's Zou Yun talked to Bai Chong'en, dean and professor at Tsinghua University's School of Economics and Management. https://t.co/23mX6YLxAL"
7405,42,101,13614960,CGTNOfficial,"American scientists: Wet market in #Wuhan is not the origin of #COVID19

More: https://t.co/7TtFkirS6x https://t.co/g0aOdkQmoZ"
2048,84,250,13614960,CGTNOfficial,Live: Leishenshan Hospital treats patients with severe #COVID19 symptoms https://t.co/oLFW01iRo2
8661,49,201,13533030,timesofindia,"Coronavirus in India: 130 new corona cases, highest in a single day https://t.co/zRp06W4XJg"
6195,24,141,13533029,timesofindia,Ahmedabad: Locals oppose burial of 46-year-old coronavirus victim https://t.co/lxxuF9D4kJ via @TOIAhmedabad https://t.co/AjrlBFgs4b
5103,1184,4976,13533029,timesofindia,Congress MP Rahul Gandhi writes to Prime Minister Narendra Modi offering suggestions on #COVID19. Gandhi says 'we stand together with the government in fighting and overcoming this tremendous challenge' https://t.co/EOD51DyVsO
9761,7721,51554,13304207,BillClinton,"As the numbers continue to rise, we can never forget that there are real people, each with their own lives, stories, families, and friends behind every statistic. My heart is with all those who have lost someone to COVID-19, are fighting the virus, or know someone who is."
10315,8835,35719,12697584,AOC,"COVID outbreaks are happening in Amazon warehouses in NYC &amp; across the country.

It’s more important than ever to fight for essential workers’ rights incl. hazard pay, paid leave, &amp; COVID-safe workplace conditions.

That means delivery drivers, too. https://t.co/LucZErQ7Lg"
